user_id,signup_date,country,device,acquisition_channel,engagement_segment,engagement_propensity,first_week_sessions,used_workout_plan_first_month,converted_subscriber,plan_type,revenue_usd
U00121,2025-10-20,US,Android,Paid Social,Regular,0.585,10,0,0,Free,0.0
U00122,2025-12-01,US,iOS,Paid Social,Casual,0.277,5,1,0,Free,0.0
U00123,2025-11-29,AU,Android,Paid Search,Casual,0.294,12,1,0,Free,0.0
U00124,2025-10-26,UK,iOS,Paid Search,Casual,0.141,6,0,0,Free,0.0
U00125,2026-01-05,US,iOS,Organic Search,Power,0.693,20,1,0,Free,0.0
U00126,2025-11-13,AU,Android,Paid Search,Casual,0.245,8,1,0,Free,0.0
U00127,2025-08-15,US,iOS,Referral,Regular,0.538,18,1,0,Free,0.0
U00128,2025-12-19,US,Android,Referral,Casual,0.285,6,1,0,Free,0.0
U00129,2025-11-14,DE,Web,Organic Search,Regular,0.551,12,1,0,Free,0.0
U00130,2025-11-25,US,Android,Paid Social,Casual,0.285,11,1,0,Free,0.0
U00131,2025-11-13,US,Android,Paid Social,Power,0.725,10,1,0,Free,0.0
U00132,2025-11-10,CA,Android,Organic Search,Regular,0.549,9,1,0,Free,0.0
U00133,2025-08-17,US,Web,Paid Social,Casual,0.17,11,1,0,Free,0.0
U00134,2025-11-11,UK,iOS,Organic Search,Regular,0.573,13,1,0,Free,0.0
U00135,2025-12-25,US,iOS,Organic Search,Casual,0.137,6,1,0,Free,0.0
U00136,2025-09-25,US,Android,Paid Search,Casual,0.271,8,0,0,Free,0.0
U00137,2025-11-19,US,iOS,Organic Search,Casual,0.162,4,0,0,Free,0.0
U00138,2025-08-06,US,iOS,Referral,Regular,0.527,15,1,0,Free,0.0
U00139,2025-10-03,US,iOS,Organic Search,Regular,0.604,17,1,0,Free,0.0
U00140,2025-10-20,US,Android,Paid Search,Casual,0.264,9,1,0,Free,0.0
U00141,2026-01-28,AU,iOS,Paid Social,Regular,0.451,14,1,0,Free,0.0
U00142,2025-09-09,US,iOS,Referral,Casual,0.21,6,1,0,Free,0.0
U00143,2025-09-20,US,iOS,Referral,Casual,0.16,3,1,0,Free,0.0
U00144,2025-10-15,US,iOS,Paid Social,Casual,0.148,3,0,0,Free,0.0
U00145,2026-01-30,US,Android,Paid Search,Casual,0.257,14,1,0,Free,0.0
U00146,2026-01-05,US,iOS,Organic Search,Casual,0.284,7,1,1,Monthly,9.99
U00147,2025-08-07,CA,Android,Paid Search,Casual,0.276,8,1,0,Free,0.0
U00148,2025-09-13,US,Android,Organic Search,Casual,0.286,15,1,1,Monthly,7.99
U00149,2025-12-30,AU,iOS,Paid Social,Casual,0.249,9,1,1,Monthly,12.99
U00150,2025-08-11,AU,Android,Organic Search,Regular,0.534,14,1,0,Free,0.0
U00151,2026-01-05,US,Android,Influencer,Casual,0.186,6,1,1,Monthly,9.99
U00152,2025-09-21,US,Android,Paid Social,Regular,0.524,16,1,0,Free,0.0
U00153,2026-01-16,US,iOS,Paid Search,Casual,0.171,7,1,0,Free,0.0
U00154,2025-09-24,CA,iOS,Paid Social,Casual,0.199,4,1,0,Free,0.0
U00155,2025-10-19,US,Web,Paid Social,Casual,0.255,8,1,0,Free,0.0
U00156,2025-11-30,AU,Android,Organic Search,Regular,0.543,17,1,0,Free,0.0
U00157,2025-08-24,IN,Web,App Store Browse,Casual,0.434,8,0,0,Free,0.0
U00158,2025-11-11,IN,Web,Referral,Casual,0.169,10,1,0,Free,0.0
U00159,2025-11-01,US,iOS,Organic Search,Regular,0.542,17,1,0,Free,0.0
U00160,2025-12-23,DE,Android,Referral,Regular,0.465,14,1,1,Monthly,7.99
U00161,2026-01-31,US,iOS,Paid Social,Casual,0.227,16,1,0,Free,0.0
U00162,2025-12-01,US,Android,Organic Search,Casual,0.229,6,1,0,Free,0.0
U00163,2025-10-15,US,iOS,Paid Search,Casual,0.301,7,0,0,Free,0.0
U00164,2025-10-14,DE,iOS,Organic Search,Casual,0.223,7,1,1,Monthly,7.99
U00165,2025-10-16,CA,Android,Organic Search,Regular,0.539,13,1,0,Free,0.0
U00166,2025-12-28,IN,Android,Referral,Casual,0.224,8,1,1,Monthly,7.99
U00167,2025-09-29,US,Android,Organic Search,Casual,0.166,2,0,1,Monthly,12.99
U00168,2025-08-31,DE,iOS,Influencer,Casual,0.211,3,1,0,Free,0.0
U00169,2025-10-01,US,iOS,Paid Search,Casual,0.227,10,1,0,Free,0.0
U00170,2025-08-05,US,Web,Influencer,Regular,0.554,20,1,0,Free,0.0
U00171,2025-08-20,DE,iOS,Paid Search,Casual,0.284,11,1,1,Monthly,7.99
U00172,2025-08-17,US,iOS,Influencer,Casual,0.236,6,1,0,Free,0.0
U00173,2025-12-20,US,Android,Paid Social,Casual,0.235,7,1,0,Free,0.0
U00174,2025-12-11,CA,iOS,Paid Search,Casual,0.147,3,0,0,Free,0.0
U00175,2025-12-07,US,Android,Paid Search,Casual,0.282,7,1,0,Free,0.0
U00176,2025-10-24,US,iOS,App Store Browse,Casual,0.208,7,1,0,Free,0.0
U00177,2025-12-10,US,Android,Organic Search,Regular,0.595,28,1,0,Free,0.0
U00178,2025-08-30,US,Web,Paid Search,Regular,0.629,18,1,0,Free,0.0
U00179,2026-01-13,AU,Web,Referral,Power,0.789,16,1,1,Monthly,9.99
U00180,2025-11-01,CA,Android,Paid Social,Power,0.739,12,1,0,Free,0.0
U00181,2026-01-20,US,iOS,Influencer,Casual,0.249,4,1,0,Free,0.0
U00182,2025-08-29,US,Android,Paid Social,Casual,0.271,9,1,1,Monthly,12.99
U00183,2025-10-31,US,Android,Organic Search,Casual,0.231,9,1,0,Free,0.0
U00184,2025-12-07,UK,Android,Paid Search,Regular,0.516,14,1,1,Monthly,7.99
U00185,2025-10-31,AU,Android,Paid Social,Casual,0.284,8,1,0,Free,0.0
U00186,2025-10-22,DE,Android,Organic Search,Casual,0.28,1,0,0,Free,0.0
U00187,2025-08-31,US,Android,Organic Search,Casual,0.229,5,1,0,Free,0.0
U00188,2025-10-10,US,Android,Organic Search,Casual,0.151,9,1,0,Free,0.0
U00189,2025-09-13,US,iOS,Referral,Regular,0.577,18,1,1,Monthly,7.99
U00190,2025-09-25,CA,Android,Influencer,Regular,0.504,15,1,0,Free,0.0
U00191,2025-12-04,US,Android,Paid Search,Casual,0.263,14,1,0,Free,0.0
U00192,2025-11-24,UK,iOS,Organic Search,Regular,0.559,14,1,0,Free,0.0
U00193,2025-11-20,CA,Android,Paid Search,Casual,0.137,6,1,0,Free,0.0
U00194,2025-10-06,US,Android,Influencer,Casual,0.255,6,1,0,Free,0.0
U00195,2026-01-24,US,iOS,Referral,Casual,0.281,3,1,0,Free,0.0
U00196,2025-08-17,US,Android,Paid Social,Regular,0.588,21,1,1,Monthly,9.99
U00197,2025-10-03,US,Android,Organic Search,Casual,0.257,8,1,0,Free,0.0
U00198,2025-08-22,US,Android,App Store Browse,Casual,0.131,8,1,0,Free,0.0
U00199,2025-10-02,UK,iOS,Influencer,Power,0.877,13,1,0,Free,0.0
U00200,2026-01-24,US,Android,Organic Search,Casual,0.275,13,1,0,Free,0.0
U00201,2025-10-07,US,iOS,Influencer,Casual,0.178,8,1,0,Free,0.0
U00202,2026-01-15,CA,Android,Organic Search,Regular,0.503,16,1,0,Free,0.0
U00203,2025-10-31,IN,iOS,Organic Search,Power,0.814,18,1,1,Monthly,7.99
U00204,2025-12-07,US,Android,Referral,Regular,0.591,22,1,0,Free,0.0
U00205,2025-10-24,IN,Android,Paid Search,Power,0.771,17,1,0,Free,0.0
U00206,2025-09-18,AU,Android,Paid Social,Casual,0.3,8,1,0,Free,0.0
U00207,2025-12-19,CA,Android,App Store Browse,Casual,0.142,7,1,0,Free,0.0
U00208,2026-01-26,UK,Android,Influencer,Regular,0.487,27,1,1,Monthly,12.99
U00209,2025-09-18,US,Android,Organic Search,Casual,0.126,3,0,0,Free,0.0
U00210,2025-12-22,DE,iOS,Paid Search,Casual,0.196,8,1,0,Free,0.0
U00211,2025-09-18,US,Web,Referral,Power,0.89,13,1,0,Free,0.0
U00212,2025-12-10,AU,Android,Paid Search,Casual,0.373,15,1,1,Monthly,9.99
U00213,2025-12-24,CA,Web,App Store Browse,Casual,0.264,6,1,0,Free,0.0
U00214,2025-10-22,US,Web,Referral,Regular,0.512,12,1,0,Free,0.0
U00215,2025-12-14,US,Web,Organic Search,Regular,0.537,13,1,0,Free,0.0
U00216,2025-09-20,UK,Android,Organic Search,Power,0.828,17,1,0,Free,0.0
U00217,2025-08-15,CA,Android,Influencer,Regular,0.456,15,1,0,Free,0.0
U00218,2025-08-18,US,iOS,App Store Browse,Casual,0.216,10,1,1,Monthly,7.99
U00219,2025-10-22,IN,Android,Organic Search,Power,0.886,20,1,1,Monthly,7.99
U00220,2026-01-14,AU,Android,Organic Search,Casual,0.187,5,1,0,Free,0.0
U00221,2025-08-24,US,Android,Referral,Regular,0.505,5,1,0,Free,0.0
U00222,2025-10-23,US,Android,Organic Search,Casual,0.251,13,1,0,Free,0.0
U00223,2025-12-08,US,iOS,Organic Search,Regular,0.567,12,1,0,Free,0.0
U00224,2025-09-07,IN,iOS,Influencer,Casual,0.212,8,0,1,Monthly,7.99
U00225,2025-12-11,US,Android,Influencer,Regular,0.555,13,1,0,Free,0.0
U00226,2025-09-26,AU,iOS,Influencer,Casual,0.286,8,1,1,Monthly,9.99
U00227,2025-12-27,US,iOS,Paid Search,Casual,0.368,8,1,0,Free,0.0
U00228,2025-11-15,CA,iOS,Paid Social,Casual,0.242,10,0,0,Free,0.0
U00229,2025-11-09,US,Android,App Store Browse,Casual,0.248,7,1,0,Free,0.0
U00230,2025-09-02,US,Android,Paid Social,Regular,0.642,18,1,0,Free,0.0
U00231,2025-10-25,IN,iOS,Organic Search,Casual,0.217,9,1,0,Free,0.0
U00232,2026-01-05,US,iOS,Influencer,Casual,0.171,8,0,0,Free,0.0
U00233,2025-08-04,US,iOS,Referral,Casual,0.265,9,1,0,Free,0.0
U00234,2025-12-18,DE,iOS,Influencer,Casual,0.315,6,1,0,Free,0.0
U00235,2025-10-30,DE,Android,Organic Search,Regular,0.572,8,0,0,Free,0.0
U00236,2025-12-11,AU,Android,App Store Browse,Casual,0.244,9,1,1,Monthly,7.99
U00237,2025-12-01,US,iOS,Paid Search,Casual,0.163,3,0,0,Free,0.0
U00238,2025-10-19,CA,Android,Paid Search,Casual,0.246,5,1,0,Free,0.0
U00239,2025-09-26,AU,iOS,App Store Browse,Casual,0.324,6,1,0,Free,0.0
U00240,2025-11-24,US,iOS,Paid Social,Regular,0.476,14,1,0,Free,0.0
U00241,2025-08-26,US,Android,Referral,Casual,0.235,9,1,0,Free,0.0
U00242,2025-11-16,IN,Android,Paid Search,Casual,0.227,4,1,0,Free,0.0
U00243,2025-08-18,US,Android,Referral,Regular,0.508,19,1,0,Free,0.0
U00244,2025-11-28,CA,iOS,Influencer,Casual,0.265,9,1,0,Free,0.0
U00245,2025-11-24,DE,iOS,Referral,Casual,0.277,9,1,1,Monthly,7.99
U00246,2025-08-16,CA,iOS,Organic Search,Casual,0.276,8,1,0,Free,0.0
U00247,2025-12-18,US,Android,Organic Search,Power,0.741,15,1,0,Free,0.0
U00248,2025-10-16,US,Web,App Store Browse,Casual,0.151,7,1,0,Free,0.0
U00249,2025-12-23,US,iOS,App Store Browse,Casual,0.266,11,1,0,Free,0.0
U00250,2025-08-08,US,Android,App Store Browse,Regular,0.52,10,1,0,Free,0.0
U00251,2025-09-03,IN,Android,Organic Search,Regular,0.66,11,1,1,Monthly,7.99
U00252,2025-10-30,IN,Android,Paid Social,Casual,0.363,13,1,1,Monthly,7.99
U00253,2025-09-04,US,iOS,Referral,Regular,0.669,21,1,1,Monthly,7.99
U00254,2025-09-30,US,Android,Referral,Casual,0.194,8,1,1,Monthly,9.99
U00255,2025-11-30,AU,iOS,Organic Search,Regular,0.584,17,1,1,Monthly,9.99
U00256,2025-08-27,US,Android,Paid Search,Regular,0.602,17,1,0,Free,0.0
U00257,2025-12-03,US,Android,Organic Search,Casual,0.296,9,1,0,Free,0.0
U00258,2025-08-20,US,Web,Paid Social,Casual,0.229,5,1,0,Free,0.0
U00259,2025-09-02,UK,Android,Organic Search,Casual,0.327,10,1,0,Free,0.0
U00260,2025-11-17,US,Android,Organic Search,Power,0.8,13,1,0,Free,0.0
U00261,2025-12-25,UK,Android,Organic Search,Casual,0.258,5,0,0,Free,0.0
U00262,2025-09-01,US,Android,App Store Browse,Casual,0.158,3,1,0,Free,0.0
U00263,2025-09-25,CA,Web,Referral,Regular,0.589,18,1,1,Monthly,9.99
U00264,2026-01-18,US,iOS,App Store Browse,Regular,0.534,18,1,0,Free,0.0
U00265,2026-01-30,US,Web,Paid Social,Casual,0.278,13,1,0,Free,0.0
U00266,2025-11-15,US,Android,Paid Social,Regular,0.564,9,1,0,Free,0.0
U00267,2025-10-22,US,Android,Paid Social,Casual,0.261,7,1,1,Monthly,7.99
U00268,2025-10-03,US,Android,Paid Search,Regular,0.547,15,1,0,Free,0.0
U00269,2025-11-21,US,Android,Paid Social,Casual,0.297,13,1,0,Free,0.0
U00270,2025-11-17,US,iOS,Referral,Casual,0.238,8,1,1,Monthly,7.99
U00271,2025-09-24,US,Android,Influencer,Regular,0.463,20,1,1,Monthly,9.99
U00272,2025-08-05,DE,iOS,Influencer,Casual,0.284,6,1,0,Free,0.0
U00273,2025-08-28,US,iOS,Organic Search,Casual,0.201,5,0,0,Free,0.0
U00274,2026-01-24,IN,iOS,Paid Search,Casual,0.171,9,1,1,Monthly,9.99
U00275,2025-10-16,DE,iOS,Organic Search,Regular,0.489,16,1,0,Free,0.0
U00276,2025-10-28,US,iOS,Organic Search,Regular,0.567,9,1,0,Free,0.0
U00277,2025-10-25,UK,Android,Referral,Regular,0.544,13,1,1,Monthly,9.99
U00278,2025-12-23,AU,iOS,Paid Search,Power,0.672,11,1,0,Free,0.0
U00279,2025-08-12,UK,Android,Referral,Regular,0.527,16,1,0,Free,0.0
U00280,2025-08-16,US,iOS,Organic Search,Casual,0.32,8,1,0,Free,0.0
U00281,2025-09-20,US,Android,App Store Browse,Casual,0.223,8,1,0,Free,0.0
U00282,2025-10-29,US,Android,App Store Browse,Regular,0.54,13,1,0,Free,0.0
U00283,2025-12-02,US,iOS,Paid Social,Power,0.863,18,1,0,Free,0.0
U00284,2025-10-30,DE,Android,Influencer,Power,0.848,17,1,0,Free,0.0
U00285,2025-10-21,DE,Web,Organic Search,Regular,0.611,11,1,0,Free,0.0
U00286,2026-01-20,US,Android,Referral,Casual,0.084,4,1,1,Monthly,9.99
U00287,2025-08-30,UK,iOS,Influencer,Power,0.904,16,1,0,Free,0.0
U00288,2025-11-14,US,Android,Influencer,Power,0.838,22,1,0,Free,0.0
U00289,2025-11-08,AU,Android,Influencer,Regular,0.698,18,1,0,Free,0.0
U00290,2025-10-27,US,iOS,Paid Social,Regular,0.503,13,1,0,Free,0.0
U00291,2025-12-27,DE,Android,Influencer,Casual,0.144,7,1,0,Free,0.0
U00292,2025-09-19,IN,iOS,Referral,Power,0.8,19,1,0,Free,0.0
U00293,2026-01-23,US,Android,Organic Search,Casual,0.233,9,1,0,Free,0.0
U00294,2025-10-01,US,iOS,Organic Search,Regular,0.589,17,1,0,Free,0.0
U00295,2025-11-09,IN,iOS,Referral,Casual,0.314,12,1,0,Free,0.0
U00296,2025-11-04,US,Web,Paid Search,Casual,0.245,9,1,0,Free,0.0
U00297,2026-01-04,US,Android,Paid Search,Casual,0.236,10,0,0,Free,0.0
U00298,2025-10-20,AU,Android,App Store Browse,Casual,0.281,4,1,1,Monthly,12.99
U00299,2025-09-22,CA,Web,Paid Search,Casual,0.235,9,1,0,Free,0.0
U00300,2025-08-04,US,iOS,Paid Social,Power,0.78,17,1,0,Free,0.0
U00301,2025-10-06,US,iOS,Paid Social,Casual,0.312,14,1,1,Monthly,7.99
U00302,2025-12-31,US,iOS,Paid Search,Regular,0.626,11,1,0,Free,0.0
U00303,2025-08-02,DE,Android,Referral,Casual,0.315,8,0,0,Free,0.0
U00304,2026-01-12,US,iOS,Paid Search,Casual,0.24,6,1,0,Free,0.0
U00305,2025-11-08,US,Web,Paid Search,Regular,0.422,21,1,0,Free,0.0
U00306,2025-08-26,US,iOS,Referral,Regular,0.541,18,1,0,Free,0.0
U00307,2025-09-25,DE,iOS,Referral,Casual,0.205,4,0,0,Free,0.0
U00308,2025-11-10,US,iOS,Influencer,Regular,0.542,14,1,0,Free,0.0
U00309,2025-09-28,AU,iOS,Organic Search,Regular,0.51,11,1,1,Monthly,12.99
U00310,2025-08-20,UK,iOS,Referral,Casual,0.249,6,0,0,Free,0.0
U00311,2025-12-01,IN,Android,Paid Search,Power,0.738,9,1,0,Free,0.0
U00312,2025-12-02,DE,iOS,Organic Search,Regular,0.473,9,1,1,Monthly,7.99
U00313,2025-08-22,IN,Android,Paid Search,Regular,0.623,15,1,1,Monthly,9.99
U00314,2025-09-21,DE,Android,Referral,Casual,0.192,8,1,0,Free,0.0
U00315,2025-09-14,US,Android,Paid Search,Casual,0.25,14,1,1,Monthly,9.99
