user_id,country,device,acquisition_channel,sessions_last_30_days,avg_session_length_min,social_interactions_last_30_days,multiplayer_sessions_last_30_days
U00075,IN,Android,Organic,20,46.6,0,4
U00076,CA,Android,Referral,21,47.9,2,13
U00077,AU,iOS,Paid Social,25,37.3,3,8
U00078,IN,Web,Paid Social,1,11.0,3,0
U00079,UK,iOS,Referral,7,18.6,1,1
U00080,AU,Android,Referral,5,16.3,0,1
U00081,US,iOS,Paid Social,20,15.0,13,7
U00082,IN,Web,Organic,16,32.8,3,3
U00083,CA,iOS,Organic,3,12.4,2,0
U00084,IN,Android,Paid Search,5,10.0,1,1
U00085,US,iOS,Paid Search,6,3.0,0,1
U00086,IN,Android,Paid Social,5,10.5,0,0
U00087,CA,Android,Organic,21,50.7,1,6
U00088,AU,Android,Paid Search,24,26.4,3,6
U00089,AU,iOS,Organic,15,18.3,13,9
U00090,CA,Web,Organic,8,4.7,1,2
U00091,UK,Android,Paid Social,5,10.2,2,2
U00092,UK,iOS,Organic,19,43.9,2,4
U00093,AU,Android,Paid Social,23,32.1,3,2
U00094,US,iOS,Paid Search,24,13.9,1,7
U00095,IN,Android,Referral,13,18.3,2,10
U00096,CA,iOS,Organic,5,16.2,1,2
U00097,US,Android,Referral,5,18.1,1,0
U00098,IN,Android,Referral,3,9.4,3,1
U00099,AU,Android,Paid Social,5,9.5,0,2
U00100,CA,Web,Organic,9,10.8,0,1
U00101,US,iOS,Organic,9,10.2,2,0
U00102,IN,Web,Paid Search,34,17.6,3,3
U00103,AU,iOS,Referral,5,8.6,3,1
U00104,AU,Android,Referral,7,7.7,0,0
U00105,IN,iOS,Paid Social,17,27.3,11,9
U00106,UK,iOS,Organic,6,7.3,0,1
U00107,UK,Android,Organic,7,18.3,1,0
U00108,IN,Android,Referral,16,23.8,3,4
U00109,IN,Android,Paid Search,7,12.5,1,0
U00110,IN,iOS,Referral,4,8.8,3,0
U00111,AU,Android,Organic,9,13.7,2,3
U00112,CA,Android,Paid Social,5,3.0,1,0
U00113,AU,iOS,Paid Social,13,16.4,13,13
U00114,AU,Web,Paid Social,18,19.5,15,10
U00115,UK,iOS,Organic,18,22.1,0,6
U00116,IN,iOS,Organic,10,21.8,9,3
U00117,AU,iOS,Paid Social,14,26.5,8,4
U00118,AU,Android,Organic,6,10.5,0,0
U00119,IN,iOS,Paid Search,14,17.1,6,6
U00120,CA,Web,Paid Social,7,15.3,1,0
U00121,UK,iOS,Paid Search,16,18.2,11,8
U00122,US,iOS,Paid Search,15,4.4,10,7
U00123,AU,Android,Organic,6,8.4,2,2
U00124,CA,Android,Organic,7,6.8,3,0
U00125,US,Web,Paid Social,7,8.1,0,0
U00126,IN,iOS,Organic,10,18.5,1,1
U00127,US,iOS,Paid Search,15,27.2,13,12
U00128,IN,iOS,Organic,15,16.3,7,9
U00129,CA,iOS,Paid Social,2,4.6,1,2
U00130,US,iOS,Referral,7,11.9,0,3
U00131,UK,iOS,Referral,7,8.7,1,1
U00132,CA,Android,Organic,2,7.7,1,0
U00133,US,Web,Referral,4,11.6,2,3
U00134,AU,iOS,Paid Search,4,16.0,0,0
U00135,US,iOS,Referral,19,13.2,10,8
U00136,US,Android,Referral,8,15.0,1,1
U00137,UK,iOS,Paid Search,7,13.7,1,1
U00138,CA,Android,Paid Social,20,37.7,1,8
U00139,AU,Web,Referral,8,13.5,0,1
U00140,CA,iOS,Referral,16,21.9,10,6
U00141,CA,Web,Referral,17,23.3,8,12
U00142,AU,iOS,Paid Social,7,10.5,1,3
U00143,AU,Web,Organic,9,12.3,1,0
U00144,UK,Web,Organic,5,12.7,2,0
U00145,IN,iOS,Paid Social,6,12.9,1,1
U00146,UK,Web,Paid Search,7,9.8,0,2
U00147,AU,Android,Organic,30,20.9,0,5
U00148,US,Android,Paid Social,6,10.4,2,0
U00149,US,Web,Paid Social,3,11.6,1,1
U00150,CA,Web,Paid Search,5,10.2,3,0
U00151,CA,Android,Paid Social,19,14.1,9,8
U00152,IN,iOS,Organic,1,17.2,0,0
U00153,IN,Android,Organic,3,9.4,1,2
U00154,IN,Web,Paid Social,3,5.3,0,0
U00155,IN,Android,Paid Social,10,21.9,7,15
U00156,US,iOS,Paid Search,6,8.5,1,3
U00157,AU,Android,Paid Search,17,26.5,2,7
U00158,IN,iOS,Referral,23,20.4,2,5
U00159,UK,Web,Paid Social,6,9.3,1,0
U00160,IN,Android,Referral,29,46.7,1,5
U00161,US,Android,Referral,4,15.9,2,1
U00162,CA,iOS,Referral,21,21.3,1,5
U00163,UK,Android,Referral,18,29.6,1,6
U00164,IN,Android,Organic,8,10.9,1,0
U00165,US,iOS,Paid Search,6,15.0,2,2
U00166,CA,Android,Paid Social,12,15.0,13,13
U00167,IN,iOS,Paid Search,10,18.7,1,0
U00168,US,Web,Paid Search,6,8.2,1,3
U00169,US,Android,Paid Search,6,15.0,2,2
U00170,AU,iOS,Paid Search,23,23.1,1,8
U00171,US,iOS,Paid Search,28,40.4,1,5
U00172,IN,Android,Paid Search,5,13.7,3,0
U00173,US,iOS,Organic,3,21.9,1,1
U00174,UK,Web,Paid Search,11,17.0,1,1
U00175,US,Web,Paid Social,14,27.4,2,6
U00176,US,Android,Paid Social,3,19.7,1,0
U00177,UK,Web,Referral,24,8.0,0,4
U00178,IN,Android,Referral,4,9.5,0,1
U00179,CA,Android,Paid Search,18,16.9,11,11
U00180,AU,iOS,Referral,3,11.6,5,0
U00181,CA,iOS,Referral,7,15.5,1,0
U00182,IN,iOS,Paid Search,5,11.9,1,1
U00183,IN,iOS,Referral,15,28.8,11,11
U00184,UK,Android,Paid Social,12,22.7,14,7
U00185,CA,iOS,Paid Search,4,7.3,1,0
U00186,US,iOS,Paid Social,17,34.0,2,4
U00187,UK,Web,Paid Social,14,26.8,14,16
U00188,UK,Android,Organic,20,31.1,3,4
U00189,AU,Web,Organic,10,16.6,1,1
U00190,UK,Web,Referral,3,8.9,0,0
U00191,CA,Web,Paid Social,4,18.7,1,1
U00192,IN,iOS,Referral,16,26.0,11,15
U00193,AU,Android,Paid Search,15,19.2,12,5
U00194,US,Web,Paid Social,22,46.0,3,6
U00195,CA,Web,Referral,4,11.4,0,0
U00196,US,Android,Paid Social,10,18.0,0,1
U00197,UK,iOS,Referral,17,34.0,2,4
U00198,CA,Web,Paid Search,14,13.4,11,15
U00199,AU,Android,Organic,13,10.1,9,11
U00200,AU,iOS,Paid Social,16,41.0,1,6
U00201,US,iOS,Referral,30,35.5,0,8
U00202,IN,iOS,Organic,8,14.2,2,1
U00203,AU,iOS,Paid Search,9,12.1,0,0
U00204,US,iOS,Organic,16,10.7,13,6
U00205,IN,Android,Paid Search,28,26.6,0,10
U00206,CA,iOS,Referral,5,17.7,0,1
U00207,AU,Web,Paid Search,6,20.4,1,2
U00208,AU,Android,Organic,14,19.9,0,4
U00209,US,Web,Referral,5,9.7,1,0
U00210,AU,Web,Referral,5,7.5,0,2
U00211,US,iOS,Paid Social,4,18.1,2,1
U00212,AU,iOS,Referral,13,35.3,0,7
U00213,US,Android,Referral,25,45.8,2,8
U00214,AU,Android,Referral,3,18.4,0,1
U00215,CA,Web,Paid Social,18,39.0,0,10
U00216,CA,iOS,Paid Search,5,14.9,2,0
U00217,US,iOS,Organic,5,12.6,1,0
U00218,CA,Web,Referral,11,36.8,1,8
U00219,US,iOS,Organic,18,45.8,3,8
U00220,US,Android,Organic,12,25.7,14,11
U00221,UK,Web,Referral,22,34.3,2,6
U00222,CA,iOS,Organic,23,37.3,3,8
U00223,UK,Web,Paid Search,5,4.3,1,2
U00224,UK,iOS,Organic,2,9.0,2,0
U00225,AU,iOS,Organic,6,15.0,2,0
U00226,US,iOS,Paid Social,6,17.6,0,0
U00227,IN,Android,Paid Search,18,27.8,16,11
U00228,UK,Web,Organic,4,14.2,0,0
U00229,AU,Android,Referral,14,17.2,15,15
U00230,CA,Android,Organic,24,31.3,1,7
U00231,IN,Web,Referral,20,38.1,2,8
U00232,US,Web,Paid Search,3,11.3,1,0
U00233,AU,iOS,Paid Search,16,30.1,4,4
U00234,IN,iOS,Paid Social,10,16.3,2,1
U00235,US,Web,Referral,9,13.6,2,1
U00236,US,iOS,Referral,20,32.7,1,5
U00237,IN,iOS,Paid Search,11,10.0,0,0
U00238,AU,Web,Referral,6,8.6,0,2
U00239,IN,Android,Referral,13,37.1,4,4
U00240,UK,Web,Organic,11,8.1,1,0
U00241,US,Web,Paid Social,11,14.7,12,14
U00242,CA,Android,Organic,17,26.9,13,10
U00243,IN,iOS,Paid Search,13,30.0,9,11
U00244,IN,Android,Referral,8,10.4,0,1
U00245,US,Android,Referral,10,5.5,1,2
U00246,US,Web,Paid Search,14,18.6,11,11
U00247,IN,iOS,Referral,7,7.1,1,1
U00248,CA,iOS,Paid Search,16,25.7,14,12
U00249,US,Android,Paid Social,19,13.0,9,8
U00250,US,Web,Referral,11,15.3,10,13
U00251,UK,Android,Organic,4,8.0,2,2
U00252,AU,iOS,Organic,10,6.2,1,0
U00253,UK,iOS,Paid Social,14,24.3,12,10
U00254,CA,Web,Paid Search,6,12.4,2,1
U00255,AU,Web,Referral,9,16.4,1,0
U00256,IN,Android,Referral,16,32.4,0,8
U00257,CA,Web,Organic,19,18.8,8,13
U00258,CA,Android,Paid Search,22,24.7,4,10
U00259,UK,Web,Paid Search,26,27.7,2,3
U00260,AU,Android,Referral,7,10.8,0,1
U00261,CA,iOS,Referral,17,34.4,3,5
U00262,AU,iOS,Organic,17,18.0,17,6
U00263,IN,iOS,Paid Search,7,16.0,1,1
U00264,AU,iOS,Referral,1,17.1,3,0
U00265,UK,iOS,Referral,9,28.1,12,11
U00266,UK,iOS,Organic,21,28.5,0,9
U00267,CA,Web,Organic,13,28.2,1,5
U00268,AU,Web,Referral,16,39.2,1,6
U00269,UK,Web,Paid Social,4,14.3,0,0
U00270,US,Android,Organic,7,14.5,1,0
U00271,UK,Web,Referral,16,21.4,9,9
U00272,IN,Web,Paid Social,14,23.8,11,6
U00273,US,Android,Referral,12,23.9,8,5
U00274,AU,Android,Paid Search,17,25.6,12,9
U00275,CA,iOS,Paid Social,10,14.6,0,1
U00276,US,Web,Paid Search,2,15.5,1,2
U00277,UK,Web,Referral,27,44.8,2,8
U00278,CA,Android,Paid Social,26,21.0,1,8
U00279,CA,iOS,Paid Search,28,37.2,2,8
U00280,CA,Web,Organic,22,30.9,1,6
U00281,CA,Android,Paid Social,14,19.3,12,10
U00282,AU,Android,Organic,5,14.3,0,2
U00283,AU,Web,Organic,6,9.8,3,2
U00284,AU,Android,Paid Search,4,12.1,1,0
U00285,UK,Android,Referral,22,22.6,3,7
U00286,AU,Web,Paid Search,6,17.0,1,2
U00287,CA,iOS,Referral,8,10.7,0,2
U00288,US,Web,Paid Search,8,15.0,2,0
U00289,US,iOS,Paid Search,9,13.3,1,0
U00290,US,Android,Paid Social,22,49.8,0,6
U00291,US,Web,Referral,9,6.9,2,1
U00292,US,Web,Organic,11,8.7,1,1
U00293,IN,iOS,Referral,15,19.8,20,9
U00294,US,Android,Referral,5,6.4,1,0
U00295,US,Web,Paid Search,4,12.6,2,3
U00296,US,Web,Organic,6,12.4,1,0
U00297,UK,Android,Paid Social,27,36.9,2,6
U00298,IN,iOS,Paid Search,7,16.8,1,1
U00299,US,Web,Paid Social,25,25.1,1,6
U00300,AU,Android,Paid Social,5,9.8,1,3
U00301,UK,Web,Referral,4,11.1,0,1
U00302,IN,Web,Organic,6,17.8,1,2
U00303,AU,Web,Referral,7,13.2,0,1
U00304,AU,iOS,Organic,25,29.9,2,7
U00305,UK,Android,Paid Social,24,21.0,2,11
U00306,AU,Web,Referral,19,27.2,8,9
U00307,CA,Web,Paid Social,5,13.8,1,1
U00308,UK,Web,Paid Search,4,13.2,0,2
U00309,UK,iOS,Organic,23,23.0,3,5
U00310,CA,Web,Paid Social,10,14.8,0,2
U00311,UK,Android,Paid Social,8,11.5,0,0
U00312,AU,iOS,Organic,5,8.6,0,0
U00313,AU,Android,Paid Social,7,16.3,2,0
U00314,AU,Web,Paid Search,11,21.3,10,14
U00315,CA,Web,Paid Social,11,16.9,23,14
U00316,AU,iOS,Paid Social,24,27.0,1,6
U00317,CA,Web,Organic,10,4.8,1,0
U00318,CA,Android,Organic,3,10.9,1,2
U00319,CA,Android,Paid Search,4,11.6,0,0
U00320,UK,Android,Paid Social,10,17.8,1,1
U00321,IN,Web,Referral,6,10.6,1,0
U00322,CA,Web,Paid Search,29,22.0,0,5
U00323,AU,iOS,Referral,14,26.4,1,7
U00324,CA,iOS,Paid Social,5,5.7,3,0
U00325,US,Android,Paid Social,9,25.6,18,10
U00326,UK,Android,Organic,27,34.1,1,2
U00327,AU,iOS,Paid Search,24,39.2,3,5
U00328,UK,iOS,Referral,21,38.6,0,4
U00329,UK,Android,Paid Social,6,11.9,0,2
U00330,US,iOS,Paid Social,6,14.6,0,1
U00331,CA,Web,Organic,3,10.1,1,2
U00332,AU,Web,Organic,21,46.0,2,6
U00333,IN,iOS,Organic,6,12.7,3,1
U00334,UK,iOS,Paid Search,3,6.5,0,0
U00335,IN,Web,Paid Search,7,14.0,0,1
U00336,IN,Web,Paid Social,1,14.5,0,0
U00337,CA,Android,Referral,11,14.9,12,7
U00338,IN,iOS,Paid Search,20,28.9,5,3
U00339,AU,Web,Organic,8,16.5,1,0
U00340,CA,iOS,Organic,4,14.6,2,2
U00341,IN,Web,Paid Search,9,10.3,1,0
U00342,CA,Web,Paid Social,5,12.4,1,2
U00343,AU,iOS,Paid Social,4,16.7,0,0
U00344,UK,Android,Paid Social,5,18.2,1,0
U00345,US,Web,Paid Social,2,12.5,0,0
U00346,CA,iOS,Organic,28,39.6,3,7
U00347,US,Web,Paid Search,22,29.9,0,6
U00348,UK,iOS,Organic,7,3.0,1,3
U00349,AU,iOS,Referral,8,4.3,2,2
U00350,UK,Web,Paid Social,21,31.0,1,7
U00351,US,Android,Paid Social,8,22.0,1,1
U00352,AU,Web,Referral,18,20.3,18,9
U00353,IN,Web,Referral,22,29.4,3,9
U00354,IN,Android,Organic,7,6.0,0,1
U00355,CA,Android,Referral,9,4.8,0,2
U00356,IN,iOS,Paid Social,30,37.7,3,4
U00357,US,iOS,Referral,1,10.2,1,0
U00358,IN,Android,Organic,28,22.9,0,4
U00359,CA,Android,Referral,15,38.5,10,4
U00360,AU,Web,Referral,22,37.8,2,6
U00361,IN,Android,Organic,7,9.7,1,1
U00362,CA,Web,Organic,32,33.1,3,5
U00363,IN,Web,Organic,5,15.4,2,1
U00364,IN,Web,Paid Social,7,6.9,1,0
U00365,US,Android,Paid Social,22,22.3,11,14
U00366,CA,Android,Referral,7,14.8,1,0
U00367,CA,Web,Paid Social,14,15.1,11,12
U00368,UK,Android,Paid Search,11,21.1,14,13
U00369,UK,iOS,Organic,4,14.7,1,0
U00370,CA,iOS,Paid Search,8,19.1,1,0
U00371,US,Web,Organic,5,3.1,0,0
U00372,IN,Android,Referral,5,9.9,0,1
U00373,AU,iOS,Organic,4,13.4,0,2
U00374,IN,Web,Paid Social,24,25.9,2,8
U00375,AU,iOS,Referral,9,12.2,1,1
U00376,US,Web,Organic,6,16.4,1,3
U00377,UK,Web,Referral,13,26.5,6,14
U00378,CA,Web,Referral,7,12.8,0,4
U00379,US,iOS,Referral,9,16.6,9,10
U00380,AU,Web,Paid Search,7,15.4,0,0
U00381,CA,Web,Paid Social,8,12.5,0,0
U00382,AU,iOS,Referral,26,35.3,5,8
U00383,IN,Web,Paid Social,25,33.9,1,2
U00384,IN,iOS,Organic,15,17.7,14,10
U00385,IN,Web,Referral,21,27.0,2,4
U00386,CA,Android,Paid Social,16,20.2,10,7
U00387,UK,Android,Referral,5,10.7,0,2
U00388,UK,iOS,Paid Search,10,5.7,1,2
U00389,AU,Web,Organic,19,15.3,1,5
U00390,UK,iOS,Paid Search,7,16.5,6,12
U00391,UK,Web,Referral,14,20.7,15,9
U00392,AU,iOS,Paid Social,12,10.3,0,2
U00393,AU,Android,Referral,5,10.6,3,1
U00394,AU,iOS,Referral,26,40.3,1,5
U00395,CA,Android,Referral,5,11.5,3,2
U00396,AU,Android,Paid Search,8,24.6,19,10
U00397,CA,Android,Paid Search,8,16.5,13,12
U00398,CA,iOS,Paid Social,6,12.9,1,1
U00399,CA,iOS,Organic,26,39.6,0,6
U00400,AU,Android,Organic,25,22.7,2,3
U00401,UK,iOS,Paid Social,5,11.9,0,1
U00402,UK,Web,Referral,15,24.1,9,11
U00403,AU,Android,Organic,1,8.9,0,0
U00404,UK,Web,Paid Search,9,14.8,9,7
U00405,AU,Android,Paid Social,4,4.2,1,1
U00406,CA,Web,Paid Social,12,25.3,6,9
U00407,IN,Android,Referral,8,11.8,3,0
U00408,US,Android,Organic,3,9.0,0,1
U00409,AU,Android,Organic,13,18.2,5,7
U00410,CA,iOS,Referral,3,10.6,3,1
U00411,IN,Web,Paid Social,2,20.6,1,1
U00412,CA,Android,Paid Social,13,8.8,11,10
U00413,US,iOS,Paid Social,13,22.8,12,14
U00414,UK,Android,Paid Social,18,42.9,1,8
U00415,UK,Web,Paid Search,25,32.8,2,6
U00416,CA,Android,Paid Search,6,8.2,1,1
U00417,US,iOS,Paid Social,6,11.4,1,1
U00418,CA,Android,Paid Social,5,13.2,1,0
U00419,UK,Android,Paid Social,21,34.2,3,8
U00420,CA,Android,Paid Search,25,30.4,3,6
U00421,IN,Android,Referral,19,43.8,0,7
U00422,US,iOS,Organic,25,34.0,3,10
U00423,UK,Android,Paid Search,7,12.7,0,0
U00424,CA,Web,Paid Social,6,11.1,1,1
U00425,US,Web,Paid Social,5,10.3,0,0
U00426,CA,Android,Paid Social,7,17.1,1,1
U00427,UK,iOS,Paid Social,9,8.7,0,0
U00428,US,Web,Referral,16,17.4,16,10
U00429,UK,Android,Paid Search,6,6.9,1,2
U00430,IN,Android,Organic,6,13.8,1,1
U00431,IN,iOS,Paid Social,2,10.5,3,1
U00432,AU,Android,Referral,22,40.0,0,5
U00433,US,iOS,Referral,30,37.3,1,8
U00434,IN,Web,Paid Social,4,5.4,1,0
U00435,AU,Android,Paid Social,8,10.2,2,1
U00436,US,iOS,Organic,20,29.0,1,4
U00437,UK,Android,Paid Search,6,8.6,0,1
U00438,CA,Android,Organic,15,17.1,12,8
U00439,CA,Web,Paid Search,17,32.2,2,6
U00440,UK,Android,Referral,7,15.0,1,1
U00441,IN,iOS,Referral,7,10.3,3,0
U00442,CA,iOS,Paid Social,17,23.6,16,11
U00443,UK,iOS,Organic,4,14.4,2,1
U00444,AU,Android,Organic,7,22.2,0,2
U00445,AU,Android,Paid Social,7,23.5,13,13
U00446,UK,Web,Organic,16,22.8,8,9
U00447,US,Android,Referral,14,20.5,11,14
U00448,IN,iOS,Referral,16,31.3,1,5
U00449,IN,iOS,Paid Social,12,14.0,2,1
U00450,UK,Web,Paid Social,5,11.9,0,1
U00451,CA,iOS,Paid Search,16,45.5,4,6
U00452,IN,iOS,Referral,18,6.5,2,7
U00453,IN,iOS,Referral,10,12.5,1,0
U00454,AU,Web,Referral,14,24.2,10,6
U00455,AU,Web,Referral,6,9.2,1,0
U00456,AU,iOS,Referral,5,10.6,1,1
U00457,IN,iOS,Paid Search,5,16.4,0,2
U00458,IN,Android,Paid Social,10,12.8,2,1
U00459,IN,Android,Paid Social,2,10.2,0,2
U00460,CA,iOS,Organic,3,5.1,0,4
U00461,CA,Android,Referral,4,14.9,0,3
U00462,CA,iOS,Referral,19,34.5,1,3
U00463,US,iOS,Paid Social,23,26.3,3,8
U00464,IN,Android,Referral,22,29.1,5,8
U00465,IN,Web,Referral,16,13.6,12,9
U00466,UK,Web,Referral,4,18.6,1,0
U00467,UK,Web,Paid Social,12,5.7,0,0
U00468,US,iOS,Organic,19,11.0,14,8
U00469,UK,iOS,Paid Social,9,15.3,2,0
U00470,CA,Web,Referral,14,18.8,11,14
U00471,US,Web,Paid Social,9,16.8,0,1
U00472,US,Web,Paid Search,19,20.1,14,7
U00473,US,iOS,Referral,9,13.1,1,0
U00474,AU,iOS,Paid Social,17,9.8,8,7
U00475,UK,Android,Paid Social,6,10.1,1,2
U00476,IN,Android,Organic,11,19.5,19,10
U00477,AU,Android,Referral,3,7.4,0,1
U00478,CA,Web,Paid Search,23,36.1,2,5
U00479,AU,iOS,Paid Search,14,20.6,12,8
U00480,CA,Android,Referral,5,13.9,1,1
U00481,IN,Android,Paid Social,22,34.9,2,6
U00482,IN,Android,Paid Search,17,45.3,1,4
U00483,UK,Android,Referral,5,7.2,0,0
U00484,AU,Web,Paid Search,15,35.2,1,5
U00485,IN,iOS,Referral,22,37.8,2,4
U00486,CA,iOS,Paid Search,11,32.3,9,8
U00487,IN,iOS,Organic,7,14.9,0,0
U00488,UK,Android,Referral,5,13.2,1,0
U00489,CA,Web,Organic,13,17.4,16,11
U00490,US,Web,Referral,15,12.2,13,6
U00491,UK,Web,Paid Search,6,18.4,2,1
U00492,UK,iOS,Paid Search,30,28.5,2,6
U00493,US,iOS,Paid Social,5,19.6,2,1
U00494,IN,Web,Paid Search,8,16.7,1,0
U00495,UK,Android,Organic,5,16.0,2,0
U00496,US,iOS,Paid Social,5,9.7,0,0
U00497,US,iOS,Organic,23,33.4,5,8
U00498,UK,Android,Organic,5,14.1,2,1
U00499,AU,Android,Organic,10,19.7,9,12
U00500,UK,iOS,Organic,16,21.5,17,8
U00501,AU,Android,Organic,20,33.0,4,2
U00502,IN,Android,Referral,8,13.7,1,2
U00503,US,Android,Referral,4,10.5,1,0
U00504,CA,Android,Paid Social,17,18.8,10,11
U00505,UK,Android,Organic,23,25.7,3,5
U00506,CA,Web,Referral,9,17.9,1,1
U00507,IN,iOS,Paid Search,12,12.5,17,8
U00508,UK,Web,Paid Social,13,25.3,11,12
U00509,CA,Web,Referral,18,16.6,9,7
U00510,IN,Web,Paid Search,22,38.2,1,6
U00511,AU,iOS,Paid Social,30,29.7,2,2
U00512,IN,iOS,Paid Search,10,17.4,1,1
U00513,UK,iOS,Organic,9,12.9,6,12
U00514,UK,Web,Paid Search,19,31.9,11,13
U00515,UK,iOS,Organic,5,12.8,1,1
U00516,IN,Web,Paid Social,15,12.4,2,2
U00517,UK,Android,Organic,8,7.5,1,1
U00518,IN,iOS,Paid Search,9,9.6,8,16
U00519,US,Android,Organic,16,21.5,15,14
U00520,US,Web,Organic,4,14.9,0,0
U00521,US,iOS,Paid Social,17,37.9,0,7
U00522,CA,iOS,Organic,7,17.5,3,2
U00523,US,Android,Referral,7,26.1,19,9
U00524,US,Web,Paid Social,12,23.9,7,11
U00525,IN,Web,Paid Search,21,18.5,15,6
U00526,IN,iOS,Paid Social,3,15.5,0,1
U00527,UK,iOS,Paid Search,8,11.4,1,0
U00528,UK,iOS,Paid Search,5,11.7,1,2
U00529,UK,iOS,Organic,3,8.0,1,1
U00530,IN,iOS,Paid Social,12,13.3,12,4
U00531,IN,Web,Paid Search,8,24.2,16,7
U00532,US,iOS,Referral,14,28.8,7,10
U00533,AU,Android,Organic,14,17.5,14,8
U00534,IN,iOS,Organic,20,29.0,2,8
U00535,AU,iOS,Paid Search,17,41.0,3,9
U00536,IN,Web,Referral,19,25.7,16,7
U00537,IN,Web,Organic,10,21.3,16,7
U00538,CA,Web,Paid Social,7,19.9,1,0
U00539,AU,Android,Paid Search,4,14.7,1,2
U00540,CA,Web,Referral,7,5.1,0,1
U00541,US,iOS,Paid Search,12,14.8,11,10
U00542,CA,Web,Organic,22,29.8,2,5
U00543,CA,Android,Referral,11,7.7,0,0
U00544,US,iOS,Paid Search,25,45.2,0,4
U00545,AU,iOS,Paid Search,22,23.2,2,7
U00546,UK,Android,Paid Search,7,7.4,0,1
U00547,IN,Web,Paid Social,8,15.3,3,0
U00548,AU,Web,Paid Social,15,19.9,1,7
U00549,US,Web,Paid Social,7,8.8,1,0
U00550,CA,Web,Paid Social,25,30.0,1,7
U00551,UK,Android,Organic,7,10.9,1,1
